t              SphereRCS.fdtd_Point probe_Ex_15_15_4.dat       incid
   0.22247225020533001E-007   0.347336717E-001   0.000000000E+000
   0.22278038351586371E-007   0.210906714E-001   0.000000000E+000
   0.22308851682639741E-007   0.557043217E-002   0.000000000E+000
   0.22339665013693111E-007  -0.106426105E-001   0.000000000E+000
   0.22370478344746481E-007  -0.262717921E-001   0.000000000E+000
   0.22401291675799850E-007  -0.400511660E-001   0.000000000E+000
   0.22432105006853220E-007  -0.508329198E-001   0.000000000E+000
   0.22462918337906590E-007  -0.576893389E-001   0.000000000E+000
   0.22493731668959960E-007  -0.599993505E-001   0.000000000E+000
   0.22524545000013330E-007  -0.575105660E-001   0.000000000E+000
   0.22555358331066699E-007  -0.503698401E-001   0.000000000E+000
   0.22586171662120069E-007  -0.391182601E-001   0.000000000E+000
   0.22616984993173439E-007  -0.246499628E-001   0.000000000E+000
   0.22647798324226809E-007  -0.813795254E-002   0.000000000E+000
   0.22678611655280179E-007   0.906654261E-002   0.000000000E+000
   0.22709424986333548E-007   0.255517662E-001   0.000000000E+000
   0.22740238317386918E-007   0.399689600E-001   0.000000000E+000
   0.22771051648440288E-007   0.511498898E-001   0.000000000E+000
   0.22801864979493658E-007   0.582071617E-001   0.000000000E+000
   0.22832678310547028E-007   0.606079847E-001   0.000000000E+000
   0.22863491641600397E-007   0.582148433E-001   0.000000000E+000
   0.22894304972653767E-007   0.512899421E-001   0.000000000E+000
   0.22925118303707137E-007   0.404640101E-001   0.000000000E+000
   0.22955931634760507E-007   0.266734939E-001   0.000000000E+000
   0.22986744965813877E-007   0.110731190E-001   0.000000000E+000
   0.23017558296867247E-007  -0.506718922E-002   0.000000000E+000
   0.23048371627920616E-007  -0.204709470E-001   0.000000000E+000
   0.23079184958973986E-007  -0.339593627E-001   0.000000000E+000
   0.23109998290027356E-007  -0.445422716E-001   0.000000000E+000
   0.23140811621080726E-007  -0.514887273E-001   0.000000000E+000
   0.23171624952134096E-007  -0.543726347E-001   0.000000000E+000
   0.23202438283187465E-007  -0.530914403E-001   0.000000000E+000
   0.23233251614240835E-007  -0.478584990E-001   0.000000000E+000
   0.23264064945294205E-007  -0.391718857E-001   0.000000000E+000
   0.23294878276347575E-007  -0.277641788E-001   0.000000000E+000
   0.23325691607400945E-007  -0.145387016E-001   0.000000000E+000
   0.23356504938454314E-007  -0.498119742E-003   0.000000000E+000
   0.23387318269507684E-007   0.133289294E-001   0.000000000E+000
   0.23418131600561054E-007   0.259581655E-001   0.000000000E+000
   0.23448944931614424E-007   0.365129262E-001   0.000000000E+000
   0.23479758262667794E-007   0.442773029E-001   0.000000000E+000
   0.23510571593721163E-007   0.487372391E-001   0.000000000E+000
   0.23541384924774533E-007   0.496084020E-001   0.000000000E+000
   0.23572198255827903E-007   0.468503758E-001   0.000000000E+000
   0.23603011586881273E-007   0.406671166E-001   0.000000000E+000
   0.23633824917934643E-007   0.314939693E-001   0.000000000E+000
   0.23664638248988012E-007   0.199717097E-001   0.000000000E+000
   0.23695451580041382E-007   0.690844841E-002   0.000000000E+000
   0.23726264911094752E-007  -0.676945224E-002   0.000000000E+000
   0.23757078242148122E-007  -0.200756378E-001   0.000000000E+000
   0.23787891573201492E-007  -0.320287198E-001   0.000000000E+000
   0.23818704904254862E-007  -0.417205915E-001   0.000000000E+000
   0.23849518235308231E-007  -0.483838841E-001   0.000000000E+000
   0.23880331566361601E-007  -0.514537878E-001   0.000000000E+000
   0.23911144897414971E-007  -0.506189950E-001   0.000000000E+000
   0.23941958228468341E-007  -0.458567105E-001   0.000000000E+000
   0.23972771559521711E-007  -0.374473557E-001   0.000000000E+000
   0.24003584890575080E-007  -0.259658471E-001   0.000000000E+000
   0.24034398221628450E-007  -0.122481259E-001   0.000000000E+000
