t              SphereRCS.fdtd_Point probe_Ey_15_15_4.dat       incid
   0.13527052332429346E-007   0.179193867E-002   0.000000000E+000
   0.13557865663482715E-007   0.211322983E-002   0.000000000E+000
   0.13588678994536085E-007   0.225599925E-002   0.000000000E+000
   0.13619492325589455E-007   0.221315841E-002   0.000000000E+000
   0.13650305656642825E-007   0.199624780E-002   0.000000000E+000
   0.13681118987696195E-007   0.163349253E-002   0.000000000E+000
   0.13711932318749565E-007   0.116623775E-002   0.000000000E+000
   0.13742745649802934E-007   0.644170155E-003   0.000000000E+000
   0.13773558980856304E-007   0.119823788E-003   0.000000000E+000
   0.13804372311909674E-007  -0.357075711E-003   0.000000000E+000
   0.13835185642963044E-007  -0.744860503E-003   0.000000000E+000
   0.13865998974016414E-007  -0.101422076E-002   0.000000000E+000
   0.13896812305069783E-007  -0.115108956E-002   0.000000000E+000
   0.13927625636123153E-007  -0.115776877E-002   0.000000000E+000
   0.13958438967176523E-007  -0.105212780E-002   0.000000000E+000
   0.13989252298229893E-007  -0.864915550E-003   0.000000000E+000
   0.14020065629283263E-007  -0.635456759E-003   0.000000000E+000
   0.14050878960336632E-007  -0.406228006E-003   0.000000000E+000
   0.14081692291390002E-007  -0.216984714E-003   0.000000000E+000
   0.14112505622443372E-007  -0.992190107E-004   0.000000000E+000
   0.14143318953496742E-007  -0.717283183E-004   0.000000000E+000
   0.14174132284550112E-007  -0.137964031E-003   0.000000000E+000
   0.14204945615603481E-007  -0.285605725E-003   0.000000000E+000
   0.14235758946656851E-007  -0.488494406E-003   0.000000000E+000
   0.14266572277710221E-007  -0.710707507E-003   0.000000000E+000
   0.14297385608763591E-007  -0.912209507E-003   0.000000000E+000
   0.14328198939816961E-007  -0.105524051E-002   0.000000000E+000
   0.14359012270870330E-007  -0.111044757E-002   0.000000000E+000
   0.14389825601923700E-007  -0.106176559E-002   0.000000000E+000
   0.14420638932977070E-007  -0.909220544E-003   0.000000000E+000
   0.14451452264030440E-007  -0.669139146E-003   0.000000000E+000
   0.14482265595083810E-007  -0.371665548E-003   0.000000000E+000
   0.14513078926137180E-007  -0.559323817E-004   0.000000000E+000
   0.14543892257190549E-007   0.236357097E-003   0.000000000E+000
   0.14574705588243919E-007   0.467886217E-003   0.000000000E+000
   0.14605518919297289E-007   0.612047035E-003   0.000000000E+000
   0.14636332250350659E-007   0.657528755E-003   0.000000000E+000
   0.14667145581404029E-007   0.610340212E-003   0.000000000E+000
   0.14697958912457398E-007   0.492855208E-003   0.000000000E+000
   0.14728772243510768E-007   0.339973340E-003   0.000000000E+000
   0.14759585574564138E-007   0.192990599E-003   0.000000000E+000
   0.14790398905617508E-007   0.921895262E-004   0.000000000E+000
   0.14821212236670878E-007   0.694040064E-004   0.000000000E+000
   0.14852025567724247E-007   0.141852885E-003   0.000000000E+000
   0.14882838898777617E-007   0.308348681E-003   0.000000000E+000
   0.14913652229830987E-007   0.548606215E-003   0.000000000E+000
   0.14944465560884357E-007   0.825858617E-003   0.000000000E+000
   0.14975278891937727E-007   0.109243055E-002   0.000000000E+000
   0.15006092222991096E-007   0.129740266E-002   0.000000000E+000
   0.15036905554044466E-007   0.139513228E-002   0.000000000E+000
   0.15067718885097836E-007   0.135322509E-002   0.000000000E+000
   0.15098532216151206E-007   0.115862046E-002   0.000000000E+000
   0.15129345547204576E-007   0.820744608E-003   0.000000000E+000
   0.15160158878257946E-007   0.371155213E-003   0.000000000E+000
   0.15190972209311315E-007  -0.140328193E-003   0.000000000E+000
   0.15221785540364685E-007  -0.652447110E-003   0.000000000E+000
   0.15252598871418055E-007  -0.110123563E-002   0.000000000E+000
   0.15283412202471425E-007  -0.142931077E-002   0.000000000E+000
   0.15314225533524795E-007  -0.159428292E-002   0.000000000E+000
   0.15345038864578164E-007  -0.157499313E-002   0.000000000E+000
   0.15375852195631534E-007  -0.137463503E-002   0.000000000E+000
   0.15406665526684904E-007  -0.102031184E-002   0.000000000E+000
   0.15437478857738274E-007  -0.559137668E-003   0.000000000E+000
   0.15468292188791644E-007  -0.515179127E-004   0.000000000E+000
   0.15499105519845013E-007   0.437341980E-003   0.000000000E+000
   0.15529918850898383E-007   0.846412149E-003   0.000000000E+000
   0.15560732181951753E-007   0.112697727E-002   0.000000000E+000
   0.15591545513005123E-007   0.124878995E-002   0.000000000E+000
   0.15622358844058493E-007   0.120342872E-002   0.000000000E+000
   0.15653172175111862E-007   0.100449764E-002   0.000000000E+000
   0.15683985506165232E-007   0.684780185E-003   0.000000000E+000
