t              WireAirBox.fdtd_Point probe A_Ez_50_50_25.dat       incid
   0.19535651887836458E-007  -0.314127064E-004   0.000000000E+000
   0.19566465218889828E-007  -0.360007180E-004   0.000000000E+000
   0.19597278549943198E-007  -0.684376573E-007   0.000000000E+000
   0.19628091880996568E-007   0.323878485E-004   0.000000000E+000
   0.19658905212049937E-007   0.264935261E-004   0.000000000E+000
   0.19689718543103307E-007  -0.334224205E-005   0.000000000E+000
   0.19720531874156677E-007  -0.211453644E-004   0.000000000E+000
   0.19751345205210047E-007  -0.160691652E-004   0.000000000E+000
   0.19782158536263417E-007  -0.367944722E-005   0.000000000E+000
   0.19812971867316787E-007   0.519769401E-005   0.000000000E+000
   0.19843785198370156E-007   0.131161623E-004   0.000000000E+000
   0.19874598529423526E-007   0.171466963E-004   0.000000000E+000
   0.19905411860476896E-007   0.580803408E-005   0.000000000E+000
   0.19936225191530266E-007  -0.177367619E-004   0.000000000E+000
   0.19967038522583636E-007  -0.281960401E-004   0.000000000E+000
   0.19997851853637005E-007  -0.831986290E-005   0.000000000E+000
   0.20028665184690375E-007   0.234360577E-004   0.000000000E+000
   0.20059478515743745E-007   0.313085584E-004   0.000000000E+000
   0.20090291846797115E-007   0.593657205E-005   0.000000000E+000
   0.20121105177850485E-007  -0.241816288E-004   0.000000000E+000
   0.20151918508903854E-007  -0.274552331E-004   0.000000000E+000
   0.20182731839957224E-007  -0.424607242E-005   0.000000000E+000
   0.20213545171010594E-007   0.187775404E-004   0.000000000E+000
   0.20244358502063964E-007   0.210713260E-004   0.000000000E+000
   0.20275171833117334E-007   0.603746412E-005   0.000000000E+000
   0.20305985164170703E-007  -0.987618478E-005   0.000000000E+000
   0.20336798495224073E-007  -0.156371934E-004   0.000000000E+000
   0.20367611826277443E-007  -0.107512969E-004   0.000000000E+000
   0.20398425157330813E-007   0.448139872E-006   0.000000000E+000
   0.20429238488384183E-007   0.122970014E-004   0.000000000E+000
   0.20460051819437552E-007   0.169225150E-004   0.000000000E+000
   0.20490865150490922E-007   0.766496760E-005   0.000000000E+000
   0.20521678481544292E-007  -0.114401255E-004   0.000000000E+000
   0.20552491812597662E-007  -0.232093880E-004   0.000000000E+000
   0.20583305143651032E-007  -0.126306195E-004   0.000000000E+000
   0.20614118474704402E-007   0.131160768E-004   0.000000000E+000
   0.20644931805757771E-007   0.272446159E-004   0.000000000E+000
   0.20675745136811141E-007   0.126677241E-004   0.000000000E+000
   0.20706558467864511E-007  -0.154675181E-004   0.000000000E+000
   0.20737371798917881E-007  -0.257421088E-004   0.000000000E+000
   0.20768185129971251E-007  -0.828872908E-005   0.000000000E+000
   0.20798998461024620E-007   0.142524405E-004   0.000000000E+000
   0.20829811792077990E-007   0.172983309E-004   0.000000000E+000
   0.20860625123131360E-007   0.397854728E-005   0.000000000E+000
   0.20891438454184730E-007  -0.575833565E-005   0.000000000E+000
   0.20922251785238100E-007  -0.569099484E-005   0.000000000E+000
   0.20953065116291469E-007  -0.589479941E-005   0.000000000E+000
   0.20983878447344839E-007  -0.826769701E-005   0.000000000E+000
   0.21014691778398209E-007  -0.106143352E-005   0.000000000E+000
   0.21045505109451579E-007   0.156102888E-004   0.000000000E+000
   0.21076318440504949E-007   0.194539844E-004   0.000000000E+000
   0.21107131771558318E-007  -0.243221984E-005   0.000000000E+000
   0.21137945102611688E-007  -0.263095571E-004   0.000000000E+000
