t              AirBox.fdtd_Point probe A_Ex_25_50_13.dat       incid
   0.26191331395364337E-007   0.129036489E-003   0.000000000E+000
   0.26222144726417707E-007   0.466412312E-004   0.000000000E+000
   0.26252958057471076E-007  -0.730147221E-004   0.000000000E+000
   0.26283771388524446E-007  -0.113657268E-003   0.000000000E+000
   0.26314584719577816E-007  -0.484147895E-004   0.000000000E+000
   0.26345398050631186E-007   0.529013050E-004   0.000000000E+000
   0.26376211381684556E-007   0.102318547E-003   0.000000000E+000
   0.26407024712737925E-007   0.632600277E-004   0.000000000E+000
   0.26437838043791295E-007  -0.322989872E-004   0.000000000E+000
   0.26468651374844665E-007  -0.106638290E-003   0.000000000E+000
   0.26499464705898035E-007  -0.892212192E-004   0.000000000E+000
   0.26530278036951405E-007   0.175635214E-004   0.000000000E+000
   0.26561091368004774E-007   0.120712582E-003   0.000000000E+000
   0.26591904699058144E-007   0.114302929E-003   0.000000000E+000
   0.26622718030111514E-007  -0.759543036E-005   0.000000000E+000
   0.26653531361164884E-007  -0.131324297E-003   0.000000000E+000
   0.26684344692218254E-007  -0.134525544E-003   0.000000000E+000
   0.26715158023271623E-007  -0.109245011E-004   0.000000000E+000
   0.26745971354324993E-007   0.125360413E-003   0.000000000E+000
   0.26776784685378363E-007   0.151912012E-003   0.000000000E+000
   0.26807598016431733E-007   0.460325609E-004   0.000000000E+000
   0.26838411347485103E-007  -0.103621678E-003   0.000000000E+000
   0.26869224678538473E-007  -0.172409389E-003   0.000000000E+000
   0.26900038009591842E-007  -0.967319938E-004   0.000000000E+000
   0.26930851340645212E-007   0.706892461E-004   0.000000000E+000
   0.26961664671698582E-007   0.190752951E-003   0.000000000E+000
   0.26992478002751952E-007   0.149533967E-003   0.000000000E+000
   0.27023291333805322E-007  -0.311346521E-004   0.000000000E+000
   0.27054104664858691E-007  -0.196631518E-003   0.000000000E+000
   0.27084917995912061E-007  -0.194589971E-003   0.000000000E+000
   0.27115731326965431E-007  -0.193777523E-004   0.000000000E+000
   0.27146544658018801E-007   0.178312242E-003   0.000000000E+000
   0.27177357989072171E-007   0.226578268E-003   0.000000000E+000
   0.27208171320125540E-007   0.819999841E-004   0.000000000E+000
   0.27238984651178910E-007  -0.136608491E-003   0.000000000E+000
   0.27269797982232280E-007  -0.247505435E-003   0.000000000E+000
   0.27300611313285650E-007  -0.152822176E-003   0.000000000E+000
   0.27331424644339020E-007   0.776880333E-004   0.000000000E+000
   0.27362237975392389E-007   0.253414502E-003   0.000000000E+000
   0.27393051306445759E-007   0.217482637E-003   0.000000000E+000
   0.27423864637499129E-007  -0.105497893E-004   0.000000000E+000
   0.27454677968552499E-007  -0.238379376E-003   0.000000000E+000
   0.27485491299605869E-007  -0.265447627E-003   0.000000000E+000
   0.27516304630659238E-007  -0.637460325E-004   0.000000000E+000
   0.27547117961712608E-007   0.195217261E-003   0.000000000E+000
   0.27577931292765978E-007   0.291113625E-003   0.000000000E+000
   0.27608744623819348E-007   0.142621269E-003   0.000000000E+000
   0.27639557954872718E-007  -0.128246451E-003   0.000000000E+000
   0.27670371285926088E-007  -0.297827675E-003   0.000000000E+000
   0.27701184616979457E-007  -0.221158203E-003   0.000000000E+000
   0.27731997948032827E-007   0.466077181E-004   0.000000000E+000
   0.27762811279086197E-007   0.284847396E-003   0.000000000E+000
   0.27793624610139567E-007   0.285542395E-003   0.000000000E+000
   0.27824437941192937E-007   0.377781398E-004   0.000000000E+000
   0.27855251272246306E-007  -0.249618897E-003   0.000000000E+000
   0.27886064603299676E-007  -0.325841043E-003   0.000000000E+000
   0.27916877934353046E-007  -0.122116238E-003   0.000000000E+000
   0.27947691265406416E-007   0.186638732E-003   0.000000000E+000
   0.27978504596459786E-007   0.337412988E-003   0.000000000E+000
   0.28009317927513155E-007   0.204559939E-003   0.000000000E+000
   0.28040131258566525E-007  -0.100622390E-003   0.000000000E+000
   0.28070944589619895E-007  -0.326030742E-003   0.000000000E+000
   0.28101757920673265E-007  -0.282518566E-003   0.000000000E+000
   0.28132571251726635E-007   0.167032704E-005   0.000000000E+000
   0.28163384582780004E-007   0.294374942E-003   0.000000000E+000
   0.28194197913833374E-007   0.343625870E-003   0.000000000E+000
   0.28225011244886744E-007   0.960651960E-004   0.000000000E+000
   0.28255824575940114E-007  -0.242218986E-003   0.000000000E+000
   0.28286637906993484E-007  -0.377075165E-003   0.000000000E+000
   0.28317451238046853E-007  -0.187667290E-003   0.000000000E+000
   0.28348264569100223E-007   0.163757883E-003   0.000000000E+000
   0.28379077900153593E-007   0.376177370E-003   0.000000000E+000
   0.28409891231206963E-007   0.271115889E-003   0.000000000E+000
   0.28440704562260333E-007  -0.617537589E-004   0.000000000E+000
   0.28471517893313703E-007  -0.346124347E-003   0.000000000E+000
   0.28502331224367072E-007  -0.345602224E-003   0.000000000E+000
   0.28533144555420442E-007  -0.543431670E-004   0.000000000E+000
   0.28563957886473812E-007   0.291852048E-003   0.000000000E+000
   0.28594771217527182E-007   0.400175748E-003   0.000000000E+000
   0.28625584548580552E-007   0.167632898E-003   0.000000000E+000
   0.28656397879633921E-007  -0.216691362E-003   0.000000000E+000
   0.28687211210687291E-007  -0.422876095E-003   0.000000000E+000
   0.28718024541740661E-007  -0.268351927E-003   0.000000000E+000
   0.28748837872794031E-007   0.117024698E-003   0.000000000E+000
   0.28779651203847401E-007   0.404178485E-003   0.000000000E+000
   0.28810464534900770E-007   0.350972172E-003   0.000000000E+000
