t              AirBox.fdtd_Point probe A_Ez_25_50_13.dat       incid
   0.33247584206586023E-007  -0.263834045E-005   0.000000000E+000
   0.33278397537639393E-007  -0.615758017E-005   0.000000000E+000
   0.33309210868692762E-007  -0.761073716E-005   0.000000000E+000
   0.33340024199746132E-007   0.234741492E-006   0.000000000E+000
   0.33370837530799502E-007   0.123894179E-004   0.000000000E+000
   0.33401650861852872E-007   0.130187846E-004   0.000000000E+000
   0.33432464192906242E-007  -0.231276044E-005   0.000000000E+000
   0.33463277523959611E-007  -0.163562690E-004   0.000000000E+000
   0.33494090855012981E-007  -0.115661896E-004   0.000000000E+000
   0.33524904186066351E-007   0.556037958E-005   0.000000000E+000
   0.33555717517119721E-007   0.136191456E-004   0.000000000E+000
   0.33586530848173091E-007   0.587739578E-005   0.000000000E+000
   0.33617344179226460E-007  -0.362576338E-005   0.000000000E+000
   0.33648157510279830E-007  -0.408231244E-005   0.000000000E+000
   0.33678970841333200E-007  -0.208182905E-005   0.000000000E+000
   0.33709784172386570E-007  -0.500899205E-005   0.000000000E+000
   0.33740597503439940E-007  -0.527331713E-005   0.000000000E+000
   0.33771410834493309E-007   0.525296809E-005   0.000000000E+000
   0.33802224165546679E-007   0.154247628E-004   0.000000000E+000
   0.33833037496600049E-007   0.780878872E-005   0.000000000E+000
   0.33863850827653419E-007  -0.120215118E-004   0.000000000E+000
   0.33894664158706789E-007  -0.187534024E-004   0.000000000E+000
   0.33925477489760159E-007  -0.304149762E-005   0.000000000E+000
   0.33956290820813528E-007   0.143500311E-004   0.000000000E+000
   0.33987104151866898E-007   0.126230761E-004   0.000000000E+000
   0.34017917482920268E-007  -0.965179424E-006   0.000000000E+000
   0.34048730813973638E-007  -0.664741447E-005   0.000000000E+000
   0.34079544145027008E-007  -0.288623596E-005   0.000000000E+000
   0.34110357476080377E-007  -0.270780788E-005   0.000000000E+000
   0.34141170807133747E-007  -0.640646704E-005   0.000000000E+000
   0.34171984138187117E-007  -0.731474302E-006   0.000000000E+000
   0.34202797469240487E-007   0.133236372E-004   0.000000000E+000
   0.34233610800293857E-007   0.150109026E-004   0.000000000E+000
   0.34264424131347226E-007  -0.391169306E-005   0.000000000E+000
