t              SphericalCavity.fdtd_Point probe_Ex_50_25_50.dat
   0.87263340442511605E-008   0.280701420E-005
   0.87448220401076249E-008   0.258100749E-005
   0.87633100359640892E-008   0.221698588E-005
   0.87817980318205535E-008   0.174602815E-005
   0.88002860276770178E-008   0.119867809E-005
   0.88187740235334822E-008   0.588890941E-006
   0.88372620193899465E-008  -0.382809731E-007
   0.88557500152464108E-008  -0.604062677E-006
   0.88742380111028751E-008  -0.106050345E-005
   0.88927260069593395E-008  -0.141838018E-005
   0.89112140028158038E-008  -0.170521048E-005
   0.89297019986722681E-008  -0.193111782E-005
   0.89481899945287324E-008  -0.209132145E-005
   0.89666779903851968E-008  -0.216451076E-005
   0.89851659862416611E-008  -0.211482870E-005
   0.90036539820981254E-008  -0.192821335E-005
   0.90221419779545897E-008  -0.163755703E-005
   0.90406299738110540E-008  -0.129166665E-005
   0.90591179696675184E-008  -0.927185965E-006
   0.90776059655239827E-008  -0.592873448E-006
   0.90960939613804470E-008  -0.356527437E-006
   0.91145819572369113E-008  -0.247289563E-006
   0.91330699530933757E-008  -0.227013530E-006
   0.91515579489498400E-008  -0.257506315E-006
   0.91700459448063043E-008  -0.357258131E-006
   0.91885339406627686E-008  -0.544396414E-006
   0.92070219365192330E-008  -0.757745113E-006
   0.92255099323756973E-008  -0.897442590E-006
   0.92439979282321616E-008  -0.939956124E-006
   0.92624859240886259E-008  -0.961790761E-006
   0.92809739199450902E-008  -0.103096181E-005
   0.92994619158015546E-008  -0.110264614E-005
   0.93179499116580189E-008  -0.105152924E-005
   0.93364379075144832E-008  -0.810525989E-006
   0.93549259033709475E-008  -0.455505187E-006
   0.93734138992274119E-008  -0.127119904E-006
   0.93919018950838762E-008   0.124468158E-006
   0.94103898909403405E-008   0.376846998E-006
   0.94288778867968048E-008   0.704552804E-006
   0.94473658826532692E-008   0.105827735E-005
   0.94658538785097335E-008   0.131773243E-005
   0.94843418743661978E-008   0.143595582E-005
   0.95028298702226621E-008   0.147508706E-005
   0.95213178660791264E-008   0.150330220E-005
   0.95398058619355908E-008   0.150981737E-005
   0.95582938577920551E-008   0.144347712E-005
   0.95767818536485194E-008   0.130431658E-005
   0.95952698495049837E-008   0.116179910E-005
   0.96137578453614481E-008   0.107544645E-005
   0.96322458412179124E-008   0.101346359E-005
   0.96507338370743767E-008   0.874894511E-006
   0.96692218329308410E-008   0.602381647E-006
   0.96877098287873054E-008   0.250770512E-006
   0.97061978246437697E-008  -0.801827866E-007
   0.97246858205002340E-008  -0.364392122E-006
   0.97431738163566983E-008  -0.664342735E-006
   0.97616618122131626E-008  -0.102699221E-005
   0.97801498080696270E-008  -0.139647932E-005
   0.97986378039260913E-008  -0.164600419E-005
   0.98171257997825556E-008  -0.168758754E-005
   0.98356137956390199E-008  -0.154630209E-005
   0.98541017914954843E-008  -0.132963021E-005
   0.98725897873519486E-008  -0.112008058E-005
   0.98910777832084129E-008  -0.898507665E-006
   0.99095657790648772E-008  -0.585859993E-006
   0.99280537749213416E-008  -0.156744818E-006
   0.99465417707778059E-008   0.318815637E-006
   0.99650297666342702E-008   0.756470172E-006
   0.99835177624907345E-008   0.114038562E-005
   0.10002005758347199E-007   0.149200719E-005
   0.10020493754203663E-007   0.178875007E-005
   0.10038981750060127E-007   0.197053305E-005
   0.10057469745916592E-007   0.202670662E-005
   0.10075957741773056E-007   0.202416322E-005
   0.10094445737629520E-007   0.202069305E-005
   0.10112933733485985E-007   0.197524309E-005
   0.10131421729342449E-007   0.177855577E-005
   0.10149909725198913E-007   0.137751408E-005
   0.10168397721055378E-007   0.850265678E-006
   0.10186885716911842E-007   0.343753527E-006
   0.10205373712768306E-007  -0.557559758E-007
   0.10223861708624771E-007  -0.373161072E-006
   0.10242349704481235E-007  -0.673591103E-006
   0.10260837700337699E-007  -0.973362376E-006
   0.10279325696194164E-007  -0.123345262E-005
   0.10297813692050628E-007  -0.141480780E-005
   0.10316301687907092E-007  -0.151611403E-005
   0.10334789683763557E-007  -0.156419640E-005
   0.10353277679620021E-007  -0.158045668E-005
   0.10371765675476485E-007  -0.155826069E-005
   0.10390253671332950E-007  -0.147660000E-005
   0.10408741667189414E-007  -0.133435003E-005
   0.10427229663045878E-007  -0.115371859E-005
   0.10445717658902343E-007  -0.948341608E-006
   0.10464205654758807E-007  -0.716387035E-006
   0.10482693650615271E-007  -0.473496812E-006
   0.10501181646471736E-007  -0.260292154E-006
   0.10519669642328200E-007  -0.100832906E-006
   0.10538157638184664E-007   0.252785810E-007
   0.10556645634041129E-007   0.161698551E-006
   0.10575133629897593E-007   0.340353552E-006
   0.10593621625754057E-007   0.558827878E-006
   0.10612109621610522E-007   0.775169553E-006
   0.10630597617466986E-007   0.940007567E-006
   0.10649085613323450E-007   0.104576168E-005
   0.10667573609179914E-007   0.111838187E-005
   0.10686061605036379E-007   0.115502553E-005
   0.10704549600892843E-007   0.111534212E-005
   0.10723037596749307E-007   0.990516810E-006
   0.10741525592605772E-007   0.830297950E-006
   0.10760013588462236E-007   0.671887733E-006
   0.10778501584318700E-007   0.481703978E-006
   0.10796989580175165E-007   0.201970153E-006
   0.10815477576031629E-007  -0.168823135E-006
   0.10833965571888093E-007  -0.573722275E-006
   0.10852453567744558E-007  -0.962959916E-006
   0.10870941563601022E-007  -0.132456864E-005
   0.10889429559457486E-007  -0.163933078E-005
   0.10907917555313951E-007  -0.184254077E-005
   0.10926405551170415E-007  -0.186907596E-005
   0.10944893547026879E-007  -0.171622901E-005
   0.10963381542883344E-007  -0.141961198E-005
   0.10981869538739808E-007  -0.990802619E-006
   0.11000357534596272E-007  -0.434336698E-006
   0.11018845530452737E-007   0.196957501E-006
   0.11037333526309201E-007   0.827121539E-006
   0.11055821522165665E-007   0.141578994E-005
   0.11074309518022130E-007   0.193343362E-005
   0.11092797513878594E-007   0.231600734E-005
   0.11111285509735058E-007   0.251665278E-005
   0.11129773505591523E-007   0.256943963E-005
   0.11148261501447987E-007   0.253120970E-005
   0.11166749497304451E-007   0.238941720E-005
   0.11185237493160916E-007   0.208745450E-005
   0.11203725489017380E-007   0.160853756E-005
   0.11222213484873844E-007   0.981907306E-006
   0.11240701480730309E-007   0.242600436E-006
   0.11259189476586773E-007  -0.560420347E-006
   0.11277677472443237E-007  -0.134210040E-005
   0.11296165468299701E-007  -0.201682815E-005
   0.11314653464156166E-007  -0.254912879E-005
   0.11333141460012630E-007  -0.294195365E-005
