t              SphereRCS.fdtd_Point probe_Ez_50_50_13.dat       incid
   0.12202079097134444E-007  -0.114852766E-003   0.000000000E+000
   0.12232892428187814E-007  -0.811686768E-004   0.000000000E+000
   0.12263705759241184E-007  -0.712398032E-004   0.000000000E+000
   0.12294519090294553E-007  -0.878266219E-004   0.000000000E+000
   0.12325332421347923E-007  -0.822901711E-004   0.000000000E+000
   0.12356145752401293E-007  -0.229606121E-004   0.000000000E+000
   0.12386959083454663E-007   0.576574639E-004   0.000000000E+000
   0.12417772414508033E-007   0.102119215E-003   0.000000000E+000
   0.12448585745561402E-007   0.944894127E-004   0.000000000E+000
   0.12479399076614772E-007   0.652467425E-004   0.000000000E+000
   0.12510212407668142E-007   0.422828598E-004   0.000000000E+000
   0.12541025738721512E-007   0.249996374E-004   0.000000000E+000
   0.12571839069774882E-007   0.721947799E-005   0.000000000E+000
   0.12602652400828251E-007  -0.282714882E-005   0.000000000E+000
   0.12633465731881621E-007  -0.699208158E-007   0.000000000E+000
   0.12664279062934991E-007  -0.130080636E-006   0.000000000E+000
   0.12695092393988361E-007  -0.171515730E-004   0.000000000E+000
   0.12725905725041731E-007  -0.336082448E-004   0.000000000E+000
   0.12756719056095100E-007  -0.163850127E-004   0.000000000E+000
   0.12787532387148470E-007   0.362691135E-004   0.000000000E+000
   0.12818345718201840E-007   0.848203636E-004   0.000000000E+000
   0.12849159049255210E-007   0.933146803E-004   0.000000000E+000
   0.12879972380308580E-007   0.689142689E-004   0.000000000E+000
   0.12910785711361950E-007   0.458020404E-004   0.000000000E+000
   0.12941599042415319E-007   0.412194277E-004   0.000000000E+000
   0.12972412373468689E-007   0.430077016E-004   0.000000000E+000
   0.13003225704522059E-007   0.361746388E-004   0.000000000E+000
   0.13034039035575429E-007   0.236419510E-004   0.000000000E+000
   0.13064852366628799E-007   0.152097145E-004   0.000000000E+000
   0.13095665697682168E-007   0.105354884E-004   0.000000000E+000
   0.13126479028735538E-007   0.571419605E-005   0.000000000E+000
   0.13157292359788908E-007   0.880507469E-005   0.000000000E+000
   0.13188105690842278E-007   0.321021726E-004   0.000000000E+000
   0.13218919021895648E-007   0.681306701E-004   0.000000000E+000
   0.13249732352949017E-007   0.888743234E-004   0.000000000E+000
   0.13280545684002387E-007   0.773588836E-004   0.000000000E+000
   0.13311359015055757E-007   0.498938425E-004   0.000000000E+000
   0.13342172346109127E-007   0.355049269E-004   0.000000000E+000
   0.13372985677162497E-007   0.391663925E-004   0.000000000E+000
   0.13403799008215866E-007   0.396441574E-004   0.000000000E+000
   0.13434612339269236E-007   0.231610593E-004   0.000000000E+000
   0.13465425670322606E-007   0.267188079E-005   0.000000000E+000
   0.13496239001375976E-007  -0.386588044E-005   0.000000000E+000
   0.13527052332429346E-007   0.146981165E-006   0.000000000E+000
   0.13557865663482715E-007   0.406288308E-006   0.000000000E+000
   0.13588678994536085E-007  -0.686513545E-006   0.000000000E+000
   0.13619492325589455E-007   0.119729439E-004   0.000000000E+000
   0.13650305656642825E-007   0.347356909E-004   0.000000000E+000
   0.13681118987696195E-007   0.409234162E-004   0.000000000E+000
   0.13711932318749565E-007   0.187866208E-004   0.000000000E+000
   0.13742745649802934E-007  -0.530498437E-005   0.000000000E+000
   0.13773558980856304E-007  -0.424187874E-006   0.000000000E+000
   0.13804372311909674E-007   0.243971117E-004   0.000000000E+000
   0.13835185642963044E-007   0.330285002E-004   0.000000000E+000
   0.13865998974016414E-007   0.150245924E-004   0.000000000E+000
   0.13896812305069783E-007  -0.194196218E-005   0.000000000E+000
